	caseid	turnout12	turnout12b	vote12	percent16	meet	givefut	info	march	sign	give12mo	compromise	ftobama	ftblack	ftwhite	fthisp	ftgay	ftjeb	fttrump	ftcarson	fthrc	ftrubio	ftcruz	ftsanders	ftfiorina	ftpolice	ftfem	fttrans	ftmuslim	ftsci	reg	demcand	repcand	vote16jb	vote16bc	vote16tc	vote16mr	vote16dt	presjob	lazyb	lazyw	lazyh	lazym	violentb	violentw	violenth	violentm	econnow	econ12mo	pid1d	pid2d	pid1r	pid2r	pidstr	pidlean	lcself	lcd	lcr	lchc	lcbo	lcdt	lcmr	lctc	srv_spend	campfin	immig_legal	immig_numb	equalpay	parleave	crimespend	death	terror_worry	terror_12mo	terror_local	relig_bc	relig_bcstr	relig_srv	relig_srvstr	incgap20	isis_troops	syrians_a	syrians_b	pc_a	pc_b	minwage	healthspend	childcare	getahead	ladder	finwell	warm	warmbad	warmcause	warmdo	freetrade	stopwhite	stopblack	forcewhite	forceblack	stop_12mo	arrested_12mo	charged_12mo	jailed_12mo	convict_12mo	famstop_12mo	stop_ever	arrested_ever	charged_ever	jailed_ever	convict_ever	famstop_ever	pk_deficit	pk_sen	pk_spend	birthright_a	birthright_b	femoff_jobs	femoff_ed	femoff_spend	femoff_issues	lpres_pleased	lpres_immig	lpres_la	vaccine	autism	bo_muslim	bo_confid	amer_ident	race_ident	whitework	whitejob	wguilt1	wguilt2	wguilt3	buycott	boycott	skintone_mob	skintone	skin_discrim	africanam10_1	white10_1	hispanic10_1	asianam10_1	nativeam10_1	other10_1	other10_open	birthyr	gender	race	race_other	educ	marstat	speakspanish	employ	employ_t	faminc	faminc2	state	votereg	pid3	pid7	ideo5	newsint	pew_bornagain	pew_churatd	religpew	religpew_t	ever_vs_12mo_rand
0	1.0	1		2.0	100	1	3	4	1	2	2	1	100.0	100.0	100	100.0	96.0	36.0	1.0	5.0	76.0	31.0	0.0	84.0	2.0	51.0	62.0	97.0	20.0	100.0	1	1	6.0				1.0	1.0	1	5	5	5	5	5	5	5	5	2	2		__NA__	1.0	__NA__	1.0		4	3	4	5	5	4	4	4	7	1	1	2	1	2	5	7	5.0	4.0	5	2	1.0	2	1.0	1	7		2.0		3.0	1	1	1	4	6	6	1	2	1	1	4	2	4	2	4							1.0	2.0	2.0	2.0	2.0	2.0	1	6.0	1		2.0		4.0	4.0		5		5.0	1	6	2	1.0	4	4	5.0	5.0	5.0	5.0	5.0	2	2	99	2.0	5	0.0	10.0	0.0	0.0	0	0.0		1960	1	1	__NA__	5	1	4	1.0	__NA__	4.0	99	6.0	1	1	1.0	6	1	2	6		__NA__	2
1	2.0	2			50	4	5	4	2	2	2	1	39.0	6.0	74	6.0	75.0	28.0	28.0	6.0	52.0	21.0	10.0	13.0	6.0	65.0	53.0	49.0	22.0	91.0	2	1	1.0		1.0		1.0		3	1	3	3	2	2	3	3	1	4	4		__NA__	3.0	__NA__		3.0	4	4	4	5	5	6	4	4	6	1	5	3	1	1	2	2		3.0	3	2	2.0	2	2.0	1	6	6.0		2.0		1	2	2	2	3	5	2	2	3	4	4	4	4	4	4	1.0	2.0	2.0	2.0	2.0	2.0							1	4.0	2	2.0			3.0	2.0		5		1.0	1	5	2	5.0	3	2	1.0	1.0	5.0	5.0	5.0	2	2	1	99.0	5	0.0	10.0	0.0	0.0	0	0.0		1957	2	1	__NA__	6	3	4	1.0	__NA__	8.0	99	13.0	2	3	4.0	2	3	2	4	2.0	__NA__	1
2	3.0	1		1.0	100	1	1	1	1	1	1	2	1.0	50.0	50	50.0	16.0	27.0	100.0	90.0	1.0	95.0	95.0	2.0	95.0	85.0	2.0	1.0	5.0	61.0	1	5				2.0	2.0		7	3	3	5	5	3	4	4	1	5	5		__NA__	2.0	__NA__	2.0		6	1	4	1	1	4	5	7	2	6	2	6	4	6	5	5	1.0		1	1	1.0	1	1.0	1	2		7.0		4.0	4	6	6	1	7	7	2	3	2	7	4	3	3	2	2	1.0	2.0	2.0	2.0	2.0	2.0							1	6.0	3	1.0				1.0	2.0	1		5.0	3	2	1	1.0	1	1	1.0	1.0	5.0	5.0	5.0	1	1	99	2.0	2	0.0	10.0	0.0	0.0	0	0.0		1963	1	1	__NA__	5	5	4	4.0	__NA__	1.0	99	24.0	1	2	6.0	4	1	2	6	1.0	__NA__	1
3	4.0	1		2.0	100	5	4	5	2	2	2	1	89.0	61.0	64	61.0	62.0	3.0	0.0	0.0	69.0	2.0	0.0	71.0	3.0	56.0	60.0	73.0	61.0	96.0	1	1	11.0			1.0	1.0		2	4	4	5	5	4	4	4	4	2	3	1.0	__NA__		__NA__	1.0		2	3	7	4	4	6	7	7	6	1	1	2	2	1	4	7	5.0		5	2	1.0	2	2.0	1	4		2.0		2.0	1	1	1	2	5	6	1	2	1	1	5	2	4	3	4	2.0	2.0	2.0	2.0	2.0	2.0							1	6.0	1	7.0		3.0			4.0	2		5.0	1	6	2	1.0	4	4	3.0	5.0	4.0	4.0	4.0	1	1	2	99.0	5	0.0	10.0	0.0	0.0	0	0.0		1980	1	1	__NA__	5	1	4	1.0	__NA__	12.0	99	35.0	1	1	1.0	2	1	2	6		__NA__	1
4	5.0	1		1.0	100	2	1	3	1	2	1	2	1.0	61.0	58	71.0	55.0	22.0	13.0	88.0	1.0	70.0	99.0	13.0	73.0	89.0	31.0	62.0	22.0	40.0	1	5	4.0	3.0			2.0		7	3	3	3	3	2	3	3	1	4	4		__NA__	4.0	Conservative		1.0	6	1	3	1	1	1	5	7	1	7	1	1	1	7	4	1		1.0	4	1	1.0	1	1.0	2	7		7.0		4.0	4	7	7	3	1	1	2	3	2	7	4	3	3	3	3							1.0	1.0	1.0	1.0	1.0	1.0	1	6.0	1		5.0	4.0	4.0			2		5.0	1	6	2	2.0	1	5	5.0	5.0	5.0	5.0	5.0	2	1	2	99.0	5	0.0	0.0	0.0	0.0	0	10.0	I don't fucking care	1974	1	1	__NA__	2	1	4	1.0	__NA__	10.0	99	27.0	1	4	5.0	4	1	2	2	3.0	__NA__	2
5	6.0	1		3.0	100	3	3	2	2	1	1	2	0.0	50.0	51	51.0	46.0	7.0	61.0	71.0	1.0	21.0	61.0	11.0	66.0	55.0	0.0	41.0	11.0	71.0	1	2	7.0	3.0		2.0			7	4	5	5	5	4	5	5	1	4	5		__NA__	3.0	__NA__		3.0	6	1	2	1	1	5	2	6	1	4	2	2	7	5	7	4	2.0	2.0	5	1	1.0	1	1.0	1	7		7.0		4.0	4	7	6	1	7	7	2	1	2	7	1	3	3	5	5							1.0	2.0	2.0	2.0	2.0	1.0	1	6.0	2	3.0		3.0	4.0			4		4.0	7	3	1	4.0	4	5	2.0	2.0	5.0	5.0	5.0	1	2	99	2.0	4	0.0	5.0	0.0	0.0	0	5.0	German	1958	1	1	__NA__	6	1	4	1.0	__NA__	7.0	99	18.0	1	3	4.0	4	1	2	2	1.0	__NA__	2
6	7.0	1		3.0	100	1	1	1	2	2	1	1	73.0	100.0	70	100.0	100.0	11.0	5.0	0.0	60.0	0.0	0.0	100.0	0.0	34.0	100.0	100.0	100.0	100.0	1	3	7.0	3.0	3.0				2	5	4	5	5	5	3	5	5	2	2		__NA__	1.0	__NA__	1.0		1	3	7	5	3	5	7	7	7	1	1	1	1	1	2	7	4.0		5	2	1.0	2	1.0	1	5	1.0			1.0	1	1	1	2	7	6	1	2	1	1	6	2	5	2	5	2.0	2.0	2.0	2.0	2.0	2.0							1	6.0	1	7.0		3.0		3.0		4		5.0	2	6	2	1.0	5	5	1.0	5.0	3.0	1.0	1.0	1	1	99	2.0	5	0.0	7.0	0.0	0.0	3	0.0		1978	1	1	__NA__	3	5	4	6.0	__NA__	97.0	99	23.0	1	1	1.0	1	1	2	2	1.0	__NA__	1
7	8.0	1		1.0	100	5	4	5	2	1	2	1	0.0	70.0	70	69.0	49.0	49.0	85.0	74.0	0.0	67.0	66.0	40.0	60.0	85.0	45.0	49.0	40.0	76.0	1	2				2.0		2.0	7	3	3	3	3	5	5	4	4	3	3	2.0	__NA__		__NA__	1.0		7	2	5	1	1	5	5	5	3	4	2	4	1	7	4	1	3.0		3	1	1.0	2	3.0	1	3		7.0		4.0	2	4	5	3	4	5	1	3	2	6	6	2	3	3	3	1.0	2.0	2.0	2.0	2.0	2.0							1	6.0	1	1.0			3.0		3.0	3		5.0	1	6	2	5.0	2	3	2.0	4.0	4.0	5.0	4.0	2	2	99	3.0	4	0.0	10.0	0.0	0.0	0	0.0		1951	1	1	__NA__	2	1	4	1.0	__NA__	10.0	99	53.0	1	2	7.0	5	1	2	6	1.0	__NA__	1
8		1		1.0	100	3	3	4	2	2	1	2	12.0	50.0	50	50.0	5.0	41.0	70.0	87.0	3.0	56.0	97.0	31.0	65.0	80.0	21.0	5.0	12.0	50.0	1	5	4.0	3.0		2.0			7	5	5	5	5	2	4	3	2	4	4	3.0	__NA__		__NA__		3.0	6	1	3	1	1	3	5	6	1	1	2	3	4	5	4	1	3.0	3.0	4	1	1.0	1	1.0	2	2	7.0		4.0		4	7	7	3	6	6	2	3	2	7	4	3	3	3	3							1.0	2.0	2.0	2.0	2.0	1.0	1	6.0	1	1.0		3.0		4.0		5	3.0		4	4	2	4.0	2	3	3.0	4.0	5.0	5.0	5.0	1	1	99	3.0	5	0.0	7.0	0.0	0.0	3	0.0		1973	1	1	__NA__	4	1	4	1.0	__NA__	8.0	99	18.0	1	3	4.0	4	1	1	2	1.0	__NA__	2
9	10.0	1		2.0	100	1	1	1	1	1	1	1	87.0	75.0	90	51.0	85.0	60.0	5.0	39.0	87.0	41.0	3.0	97.0	41.0	60.0	61.0	61.0	72.0	91.0	1	3	6.0				1.0	1.0	2	3	3	5	5	3	3	3	3	2	2	1.0	__NA__		__NA__	1.0		2	3	6	3	3	5	5	7	6	1	1	3	1	1	3	5	4.0		4	2	1.0	2	3.0	1	7	2.0			1.0	1	2	2	2	5	5	1	2	3	1	6	2	2	2	2							1.0	1.0	1.0	2.0	2.0	1.0	1	6.0	1	7.0		3.0		3.0		4	4.0		1	6	2	1.0	2	2	3.0	4.0	5.0	5.0	5.0	1	1	99	2.0	4	2.0	2.0	2.0	2.0	2	0.0		1936	1	1	__NA__	6	1	4	5.0	__NA__	10.0	99	12.0	1	1	1.0	2	1	1	1	1.0	__NA__	2
