caseid,liveurban,vote16,protest,vote,most_important_issue,confecon,ideology,partyID,universal_income,family_separation,free_college,forgive_loans,race,birthyr,sex,education,weight,fttrump,ftobama,ftbiden,ftwarren,ftsanders,ftbuttigieg,ftharris,ftblack,ftwhite,fthisp,ftasian,ftmuslim,ftillegal,ftjournal,ftnato,ftun,ftice,ftnra,ftchina,ftnkorea,ftmexico,ftsaudi,ftukraine,ftiran,ftbritain,ftgermany,ftjapan,ftisrael,ftfrance,ftcanada,ftturkey,ftrussia,ftpales,ftimmig,partisanship,ftbiden_level,age,age2,ftbiden_float,ftbiden_cat,ftbiden_str,prefersbiden,worried_econ,favor_both
1,Suburb,Someone else,False,Joe Biden,Health Care,A little worried,Conservative,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a little,Hispanic,1969,Male,High school graduate,1.34719693063187,47.0,90.0,52.0,52.0,49.0,,50.0,99.0,99.0,99.0,100.0,88.0,79.0,99,82.0,71.0,86.0,88.0,90,66.0,89.0,88.0,81.0,77.0,98,94,89,88.0,99.0,99,92.0,89.0,86.0,97.0,5.0,neutral,51,2601,52.0,52.0,52.0,True,False,True
2,Suburb,Donald Trump,False,Donald Trump,Working together,A little worried,Conservative,Republican,Oppose a moderate amount,Oppose somewhat,Oppose a little,Oppose a moderate amount,White,1942,Male,Post-graduate,.780822076219216,41.0,29.999999999999996,41.0,17.0,31.0,30.0,29.0,91.0,96.0,92.0,93.0,93.0,25.0,67,86.0,78.0,91.0,93.0,44,19.0,93.0,25.0,82.0,22.0,89,91,94,71.0,66.0,100,20.0,25.0,77.0,94.0,0.0,neutral,78,6084,41.0,41.0,41.0,False,False,False
3,Rural,Hillary Clinton,False,Joe Biden,health care,Extremely worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Oppose a moderate amount,Oppose a great deal,White,1954,Female,High school graduate,.966366930694957,0.0,91.0,88.0,15.0,60.0,70.0,68.0,48.0,49.0,49.0,49.0,50.0,39.0,63,66.0,51.0,40.0,2.0,2,2.0,1.0,3.0,59.0,1.0,50,1,1,1.0,51.0,87,50.0,1.0,3.0,69.0,88.0,like,66,4356,88.0,88.0,88.0,True,True,False
4,City,Hillary Clinton,False,Donald Trump,The economy.,A little worried,Moderate,Democrat,Neither favor nor oppose,Neither favor nor disagree,Favor a little,Favor a moderate amount,Black,1979,Male,Some college,1.10348514780374,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,75.0,75.0,75.0,100.0,25,50.0,15.0,50.0,50.0,15.0,85,10,85,50.0,75.0,50,75.0,25.0,0.0,100.0,-100.0,dislike,41,1681,0.0,0.0,0.0,False,False,False
5,City,Donald Trump,False,Donald Trump,China,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1940,Female,Post-graduate,1.09069730256741,94.0,18.0,25.0,1.0,10.0,16.0,7.0,93.0,94.0,94.0,94.0,50.0,9.0,20,68.0,16.0,94.0,84.0,23,29.0,50.0,51.0,49.0,5.0,73,44,72,97.0,58.0,96,60.0,45.0,45.0,92.0,-69.0,dislike,80,6400,25.0,25.0,25.0,False,False,False
6,Suburb,Hillary Clinton,False,Joe Biden,The influence of big money on our political system both domestic and foreign,Not at all worried,Moderate,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a great deal,Black,1942,Male,4-year degree,1.02140871415171,46.0,83.0,80.0,69.0,80.0,59.0,64.0,87.0,69.0,80.0,61.0,70.0,63.0,56,68.0,70.0,58.0,43.0,61,47.0,76.0,51.0,81.0,49.0,81,65,74,95.0,72.0,71,51.0,44.0,81.0,81.0,34.0,like,78,6084,80.0,80.0,80.0,True,False,True
7,City,Did not vote,False,Joe Biden, ,Moderately worried,Liberal,Democrat,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,White,2000,Female,Some college,.964514474045239,0.0,100.0,75.0,91.0,52.0,71.0,81.0,98.0,85.0,97.0,98.0,98.0,73.0,70,97.0,97.0,47.0,3.0,53,51.0,75.0,50.0,70.0,50.0,59,74,73,50.0,90.0,95,63.0,18.0,70.0,99.0,75.0,like,20,400,75.0,75.0,75.0,True,True,False
8,City,Hillary Clinton,True,Joe Biden,climate change,Not at all worried,Liberal,Democrat,Favor a little,Oppose strongly,Favor a little,Oppose a moderate amount,White,1994,Female,Post-graduate,.83469258858232,1.0,83.0,45.0,86.0,71.0,71.0,79.0,73.0,75.0,76.0,76.0,79.0,75.0,75,50.0,86.0,40.0,1.0,23,0.0,70.0,38.0,50.0,35.0,60,66,78,56.0,58.0,82,50.0,33.0,46.0,76.0,44.0,neutral,26,676,45.0,45.0,45.0,True,False,True
9,Suburb,Did not vote,True,Donald Trump,Immigration,Moderately worried,Conservative,Republican,Favor a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1999,Male,Some college,1.53541542020853,61.0,1.0,28.0,2.0,0.0,1.0,1.0,0.0,100.0,36.0,69.0,6.0,0.0,0,9.0,1.0,69.0,11.0,31,100.0,1.0,12.0,9.0,10.0,91,50,99,0.0,70.0,80,2.0,100.0,1.0,0.0,-33.0,dislike,21,441,28.0,28.0,28.0,False,True,False
10,Town,Hillary Clinton,False,Joe Biden,Donald Trump and the enabling of his treasonous activities by the Republican Party.,Very worried,Liberal,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a moderate amount,White,1980,Male,High school graduate,1.32458088383641,0.0,100.0,90.0,70.0,95.0,80.0,40.0,80.0,81.0,81.0,80.0,80.0,60.0,95,96.0,100.0,16.0,2.0,20,10.0,70.0,46.0,51.0,6.0,90,80,80,51.0,60.0,100,50.0,16.0,50.0,81.0,90.0,like,40,1600,90.0,90.0,90.0,True,False,True
